Country Name,Country Code,Indicator Name,Indicator Code,Year,Value,Region,Income Group
Afghanistan,AFG,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2000,0.144061246496393,Middle East & North Africa,Low income
Afghanistan,AFG,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.0,Middle East & North Africa,Low income
Albania,ALB,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2000,4.82248460905807,Europe & Central Asia,Upper middle income
Albania,ALB,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,0.114097346552109,Europe & Central Asia,Upper middle income
Albania,ALB,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.940922534259296,Europe & Central Asia,Upper middle income
Algeria,DZA,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2000,5.6993693318832,Middle East & North Africa,Upper middle income
Algeria,DZA,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,0.491705679141589,Middle East & North Africa,Upper middle income
Algeria,DZA,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,0.278282092162305,Middle East & North Africa,Upper middle income
American Samoa,ASM,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2000,18.0318353706798,East Asia & Pacific,High income
American Samoa,ASM,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,3.5036496350365,East Asia & Pacific,High income
Andorra,AND,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2000,52.0895181548299,Europe & Central Asia,High income
Andorra,AND,Individuals using the Internet (% of population),IT.NET.USER.ZS,2000,10.53883560922,Europe & Central Asia,High income
Andorra,AND,"Individuals using the Internet, female (% of female population)",IT.NET.USER.FE.ZS,2000,26.9841,Europe & Central Asia,High income
Andorra,AND,"Individuals using the Internet, male (% of male population)",IT.NET.USER.MA.ZS,2000,29.7574,Europe & Central Asia,High income
Andorra,AND,Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,2000,35.8422775367283,Europe & Central Asia,High income
Angola,AGO,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,2000,0.400744211021404,Sub-Saharan Africa,Lower middle income
